Reward Name,SKU,Shipping Cost,Handling Cost,Service Charge,ID
Four Seasons e-Gift Card (100 OMR),OM-FS0001,0,0,6,0
Four Seasons e-Gift Card (200 OMR),OM-FS0002,0,0,7,0
Four Seasons e-Gift Card (300 OMR),OM-FS0003,0,0,7,0
Four Seasons e-Gift Card (500 OMR),OM-FS0004,0,0,7,0
Four Seasons e-Gift Card (800 OMR),OM-FS0005,0,0,7,0
Four Seasons e-Gift Card (1000 OMR),OM-FS0006,0,0,10,0
Four Seasons e-Gift Card (1250 OMR),OM-FS0007,0,0,10,0
Four Seasons e-Gift Card (1500 OMR),OM-FS0008,0,0,10,0
Four Seasons e-Gift Card (1800 OMR),OM-FS0009,0,0,10,0
Four Seasons e-Gift Card (2000 OMR),OM-FS0010,0,0,10,0
Four Seasons e-Gift Card (2300 OMR),OM-FS0011,0,0,10,0
Four Seasons e-Gift Card (2500 OMR),OM-FS0012,0,0,10,0
Four Seasons e-Gift Card (2800 OMR),OM-FS0013,0,0,10,0
Four Seasons e-Gift Card (3000 OMR),OM-FS0014,0,0,10,0
Four Seasons e-Gift Card (3250 OMR),OM-FS0015,0,0,12,0
Four Seasons e-Gift Card (100 OMR),OM-FS0016,0,0,6,0
Four Seasons e-Gift Card (200 OMR),OM-FS0017,0,0,7,0
Four Seasons e-Gift Card (300 OMR),OM-FS0018,0,0,7,0
Four Seasons e-Gift Card (500 OMR),OM-FS0019,0,0,7,0
Four Seasons e-Gift Card (800 OMR),OM-FS0020,0,0,7,0
Four Seasons e-Gift Card (1000 OMR),OM-FS0021,0,0,10,0
Four Seasons e-Gift Card (1250 OMR),OM-FS0022,0,0,10,0
Four Seasons e-Gift Card (1500 OMR),OM-FS0023,0,0,10,0
Four Seasons e-Gift Card (1800 OMR),OM-FS0024,0,0,10,0
Four Seasons e-Gift Card (2000 OMR),OM-FS0025,0,0,10,0
Four Seasons e-Gift Card (2300 OMR),OM-FS0026,0,0,10,0
